pe_type,scope,ratio,n,mean,std
alibi,attention,0.0,3,0.810800,0.002889
alibi,attention,0.1,3,0.811067,0.003332
alibi,attention,0.2,3,0.810200,0.003429
alibi,attention,0.3,3,0.808933,0.003091
alibi,attention,0.5,3,0.779933,0.000772
alibi,attention,0.7,3,0.443267,0.013289
alibi,attention,0.9,3,0.021133,0.001969
alibi,global,0.0,3,0.810800,0.002889
alibi,global,0.1,3,0.811200,0.003637
alibi,global,0.2,3,0.809867,0.004479
alibi,global,0.3,3,0.808333,0.003117
alibi,global,0.5,3,0.783600,0.002971
alibi,global,0.7,3,0.351200,0.028957
alibi,global,0.9,3,0.017000,0.003266
alibi,mlp,0.0,3,0.810800,0.002889
alibi,mlp,0.1,3,0.810733,0.003243
alibi,mlp,0.2,3,0.811200,0.004079
alibi,mlp,0.3,3,0.810600,0.002718
alibi,mlp,0.5,3,0.793400,0.004445
alibi,mlp,0.7,3,0.654067,0.004312
alibi,mlp,0.9,3,0.051133,0.009886
alibi,per_layer,0.0,3,0.810800,0.002889
alibi,per_layer,0.1,3,0.811133,0.003623
alibi,per_layer,0.2,3,0.811467,0.004074
alibi,per_layer,0.3,3,0.810467,0.001652
alibi,per_layer,0.5,3,0.788667,0.002451
alibi,per_layer,0.7,3,0.269733,0.028645
alibi,per_layer,0.9,3,0.011067,0.001360
learned,attention,0.0,3,0.792800,0.003611
learned,attention,0.1,3,0.792600,0.003735
learned,attention,0.2,3,0.792867,0.003974
learned,attention,0.3,3,0.794533,0.003151
learned,attention,0.5,3,0.775067,0.003442
learned,attention,0.7,3,0.363533,0.012838
learned,attention,0.9,3,0.018467,0.004532
learned,global,0.0,3,0.792800,0.003611
learned,global,0.1,3,0.792667,0.003519
learned,global,0.2,3,0.791400,0.004243
learned,global,0.3,3,0.790333,0.003638
learned,global,0.5,3,0.766067,0.007038
learned,global,0.7,3,0.391600,0.014083
learned,global,0.9,3,0.020133,0.000929
learned,mlp,0.0,3,0.792800,0.003611
learned,mlp,0.1,3,0.792600,0.003990
learned,mlp,0.2,3,0.791800,0.004673
learned,mlp,0.3,3,0.789867,0.003598
learned,mlp,0.5,3,0.766133,0.003714
learned,mlp,0.7,3,0.583000,0.001883
learned,mlp,0.9,3,0.057000,0.005987
learned,per_layer,0.0,3,0.792800,0.003611
learned,per_layer,0.1,3,0.792867,0.003399
learned,per_layer,0.2,3,0.793267,0.003450
learned,per_layer,0.3,3,0.794333,0.004386
learned,per_layer,0.5,3,0.780267,0.006283
learned,per_layer,0.7,3,0.358200,0.008170
learned,per_layer,0.9,3,0.012133,0.001320
rope,attention,0.0,3,0.845267,0.002816
rope,attention,0.1,3,0.844867,0.003083
rope,attention,0.2,3,0.844133,0.003845
rope,attention,0.3,3,0.840333,0.004957
rope,attention,0.5,3,0.812067,0.005021
rope,attention,0.7,3,0.488400,0.035902
rope,attention,0.9,3,0.013333,0.003013
rope,global,0.0,3,0.845267,0.002816
rope,global,0.1,3,0.845733,0.002614
rope,global,0.2,3,0.843667,0.003511
rope,global,0.3,3,0.841867,0.004739
rope,global,0.5,3,0.824067,0.005302
rope,global,0.7,3,0.503533,0.043484
rope,global,0.9,3,0.022200,0.007370
rope,mlp,0.0,3,0.845267,0.002816
rope,mlp,0.1,3,0.845467,0.002782
rope,mlp,0.2,3,0.845533,0.003465
rope,mlp,0.3,3,0.846333,0.004922
rope,mlp,0.5,3,0.840000,0.003902
rope,mlp,0.7,3,0.759800,0.014177
rope,mlp,0.9,3,0.117733,0.010734
rope,per_layer,0.0,3,0.845267,0.002816
rope,per_layer,0.1,3,0.845600,0.003422
rope,per_layer,0.2,3,0.844067,0.004100
rope,per_layer,0.3,3,0.841733,0.004057
rope,per_layer,0.5,3,0.822067,0.006283
rope,per_layer,0.7,3,0.327067,0.025800
rope,per_layer,0.9,3,0.015133,0.003083
sinusoidal,attention,0.0,3,0.817533,0.003703
sinusoidal,attention,0.1,3,0.817733,0.004014
sinusoidal,attention,0.2,3,0.817067,0.002744
sinusoidal,attention,0.3,3,0.816667,0.003974
sinusoidal,attention,0.5,3,0.795467,0.002081
sinusoidal,attention,0.7,3,0.535200,0.007789
sinusoidal,attention,0.9,3,0.044667,0.002317
sinusoidal,global,0.0,3,0.817533,0.003703
sinusoidal,global,0.1,3,0.818000,0.003861
sinusoidal,global,0.2,3,0.818067,0.003442
sinusoidal,global,0.3,3,0.817667,0.002932
sinusoidal,global,0.5,3,0.804667,0.002782
sinusoidal,global,0.7,3,0.509667,0.010991
sinusoidal,global,0.9,3,0.022467,0.002323
sinusoidal,mlp,0.0,3,0.817533,0.003703
sinusoidal,mlp,0.1,3,0.817533,0.003091
sinusoidal,mlp,0.2,3,0.818267,0.002739
sinusoidal,mlp,0.3,3,0.818533,0.003631
sinusoidal,mlp,0.5,3,0.810067,0.002614
sinusoidal,mlp,0.7,3,0.703267,0.006801
sinusoidal,mlp,0.9,3,0.073200,0.002889
sinusoidal,per_layer,0.0,3,0.817533,0.003703
sinusoidal,per_layer,0.1,3,0.817933,0.003914
sinusoidal,per_layer,0.2,3,0.818600,0.003681
sinusoidal,per_layer,0.3,3,0.818067,0.001835
sinusoidal,per_layer,0.5,3,0.800800,0.003990
sinusoidal,per_layer,0.7,3,0.503800,0.013295
sinusoidal,per_layer,0.9,3,0.018400,0.005559
