pe_type,scope,bits,n,mean,std
alibi,attention,2,3,0.010000,0.000000
alibi,attention,4,3,0.806000,0.003024
alibi,attention,8,3,0.810533,0.003427
alibi,attention,32,3,0.810800,0.002889
alibi,global,2,3,0.011067,0.001370
alibi,global,4,3,0.774400,0.002417
alibi,global,8,3,0.810733,0.003271
alibi,global,32,3,0.810800,0.002889
alibi,mlp,2,3,0.050267,0.009182
alibi,mlp,4,3,0.784200,0.004758
alibi,mlp,8,3,0.810667,0.002932
alibi,mlp,32,3,0.810800,0.002889
learned,attention,2,3,0.010667,0.002015
learned,attention,4,3,0.792467,0.002941
learned,attention,8,3,0.792667,0.003675
learned,attention,32,3,0.792800,0.003611
learned,global,2,3,0.010533,0.001204
learned,global,4,3,0.779600,0.008673
learned,global,8,3,0.793200,0.003767
learned,global,32,3,0.792800,0.003611
learned,mlp,2,3,0.036933,0.008620
learned,mlp,4,3,0.780067,0.006696
learned,mlp,8,3,0.793267,0.003557
learned,mlp,32,3,0.792800,0.003611
rope,attention,2,3,0.010000,0.000000
rope,attention,4,3,0.821733,0.008580
rope,attention,8,3,0.845600,0.002628
rope,attention,32,3,0.845267,0.002816
rope,global,2,3,0.010600,0.000712
rope,global,4,3,0.814333,0.007625
rope,global,8,3,0.845867,0.002963
rope,global,32,3,0.845267,0.002816
rope,mlp,2,3,0.041200,0.007699
rope,mlp,4,3,0.838067,0.002927
rope,mlp,8,3,0.845667,0.003193
rope,mlp,32,3,0.845267,0.002816
sinusoidal,attention,2,3,0.010200,0.000283
sinusoidal,attention,4,3,0.813733,0.001482
sinusoidal,attention,8,3,0.817800,0.003398
sinusoidal,attention,32,3,0.817533,0.003703
sinusoidal,global,2,3,0.011000,0.001414
sinusoidal,global,4,3,0.802933,0.002106
sinusoidal,global,8,3,0.817333,0.002839
sinusoidal,global,32,3,0.817533,0.003703
sinusoidal,mlp,2,3,0.057400,0.008209
sinusoidal,mlp,4,3,0.802933,0.000957
sinusoidal,mlp,8,3,0.817600,0.002903
sinusoidal,mlp,32,3,0.817533,0.003703
