pe_type,unit,scope,ratio,n,mean,std
alibi,heads,global,0.0,3,0.810800,0.002889
alibi,heads,global,0.083,3,0.789467,0.004413
alibi,heads,global,0.167,3,0.765533,0.018005
alibi,heads,global,0.333,3,0.652200,0.011806
alibi,heads,global,0.5,3,0.113400,0.063296
alibi,heads,global,0.667,3,0.023733,0.002963
alibi,heads,per_layer,0.0,3,0.810800,0.002889
alibi,heads,per_layer,0.083,3,0.810800,0.002889
alibi,heads,per_layer,0.167,3,0.759400,0.015415
alibi,heads,per_layer,0.333,3,0.719867,0.020028
alibi,heads,per_layer,0.5,3,0.490133,0.008266
alibi,heads,per_layer,0.667,3,0.286333,0.016702
alibi,neurons,global,0.0,3,0.810800,0.002889
alibi,neurons,global,0.1,3,0.759000,0.005299
alibi,neurons,global,0.25,3,0.711400,0.009104
alibi,neurons,global,0.5,3,0.607333,0.012284
alibi,neurons,global,0.75,3,0.340133,0.020202
alibi,neurons,per_layer,0.0,3,0.810800,0.002889
alibi,neurons,per_layer,0.1,3,0.786733,0.002625
alibi,neurons,per_layer,0.25,3,0.701000,0.005659
alibi,neurons,per_layer,0.5,3,0.309267,0.012216
alibi,neurons,per_layer,0.75,3,0.067467,0.005529
learned,heads,global,0.0,3,0.792800,0.003611
learned,heads,global,0.083,3,0.763867,0.012933
learned,heads,global,0.167,3,0.447933,0.127339
learned,heads,global,0.333,3,0.047933,0.012807
learned,heads,global,0.5,3,0.023733,0.001821
learned,heads,global,0.667,3,0.014400,0.001728
learned,heads,per_layer,0.0,3,0.792800,0.003611
learned,heads,per_layer,0.083,3,0.792800,0.003611
learned,heads,per_layer,0.167,3,0.776000,0.007250
learned,heads,per_layer,0.333,3,0.750467,0.010515
learned,heads,per_layer,0.5,3,0.390933,0.090084
learned,heads,per_layer,0.667,3,0.068333,0.022769
learned,neurons,global,0.0,3,0.792800,0.003611
learned,neurons,global,0.1,3,0.708200,0.018823
learned,neurons,global,0.25,3,0.675600,0.013465
learned,neurons,global,0.5,3,0.593067,0.023169
learned,neurons,global,0.75,3,0.331933,0.022699
learned,neurons,per_layer,0.0,3,0.792800,0.003611
learned,neurons,per_layer,0.1,3,0.769133,0.005437
learned,neurons,per_layer,0.25,3,0.695800,0.016548
learned,neurons,per_layer,0.5,3,0.354267,0.028836
learned,neurons,per_layer,0.75,3,0.089800,0.012406
rope,heads,global,0.0,3,0.845267,0.002816
rope,heads,global,0.083,3,0.773867,0.033576
rope,heads,global,0.167,3,0.251933,0.058161
rope,heads,global,0.333,3,0.024733,0.005987
rope,heads,global,0.5,3,0.018667,0.000998
rope,heads,global,0.667,3,0.011067,0.000094
rope,heads,per_layer,0.0,3,0.845267,0.002816
rope,heads,per_layer,0.083,3,0.845267,0.002816
rope,heads,per_layer,0.167,3,0.808467,0.006894
rope,heads,per_layer,0.333,3,0.777800,0.004668
rope,heads,per_layer,0.5,3,0.324467,0.167528
rope,heads,per_layer,0.667,3,0.054600,0.021435
rope,neurons,global,0.0,3,0.845267,0.002816
rope,neurons,global,0.1,3,0.825467,0.003336
rope,neurons,global,0.25,3,0.812667,0.001226
rope,neurons,global,0.5,3,0.748000,0.008842
rope,neurons,global,0.75,3,0.466267,0.018763
rope,neurons,per_layer,0.0,3,0.845267,0.002816
rope,neurons,per_layer,0.1,3,0.835400,0.001883
rope,neurons,per_layer,0.25,3,0.801200,0.004753
rope,neurons,per_layer,0.5,3,0.444400,0.032690
rope,neurons,per_layer,0.75,3,0.096000,0.016547
sinusoidal,heads,global,0.0,3,0.817533,0.003703
sinusoidal,heads,global,0.083,3,0.804667,0.005543
sinusoidal,heads,global,0.167,3,0.733600,0.011065
sinusoidal,heads,global,0.333,3,0.410733,0.058181
sinusoidal,heads,global,0.5,3,0.146000,0.049850
sinusoidal,heads,global,0.667,3,0.070000,0.017117
sinusoidal,heads,per_layer,0.0,3,0.817533,0.003703
sinusoidal,heads,per_layer,0.083,3,0.817533,0.003703
sinusoidal,heads,per_layer,0.167,3,0.798733,0.003831
sinusoidal,heads,per_layer,0.333,3,0.777600,0.003024
sinusoidal,heads,per_layer,0.5,3,0.589933,0.012210
sinusoidal,heads,per_layer,0.667,3,0.284667,0.035381
sinusoidal,neurons,global,0.0,3,0.817533,0.003703
sinusoidal,neurons,global,0.1,3,0.797933,0.000573
sinusoidal,neurons,global,0.25,3,0.776867,0.006734
sinusoidal,neurons,global,0.5,3,0.695867,0.004562
sinusoidal,neurons,global,0.75,3,0.407733,0.007759
sinusoidal,neurons,per_layer,0.0,3,0.817533,0.003703
sinusoidal,neurons,per_layer,0.1,3,0.803000,0.001143
sinusoidal,neurons,per_layer,0.25,3,0.734200,0.005070
sinusoidal,neurons,per_layer,0.5,3,0.349467,0.036426
sinusoidal,neurons,per_layer,0.75,3,0.088333,0.003193
